ai_score,Quantidade_Repos,Stars_Media,Stars_Mediana,Stars_StdDev,Idade_Media,Idade_Mediana,Commits_Pre_Media,Issues_Pre_Media,MI_Change_Media,MI_Change_StdDev
2,8,26923.62,19242.5,25267.39,9.57,9.35,210.38,474.5,-7.36,9.9
3,47,22779.34,14195.0,18000.22,10.6,9.5,342.64,2006.72,-1.41,11.17
4,2,18905.0,18905.0,3405.43,7.35,7.35,527.0,132.5,-2.59,2.76
5,13,42040.54,24641.0,56395.94,10.43,9.5,419.92,904.15,-1.28,8.45
6,17,23448.59,14804.0,14934.39,9.79,8.2,372.71,633.59,2.35,9.31
7,5,29069.8,25138.0,18542.59,10.06,9.4,749.2,765.4,-6.52,3.88
8,4,62870.25,38865.5,66202.3,12.38,12.75,606.0,1194.5,-2.87,4.56
9,1,99610.0,99610.0,,9.7,9.7,1000.0,6624.0,-5.33,
10,3,16375.33,17169.0,4834.61,7.73,7.7,221.67,422.67,3.77,18.27
11,2,39027.0,39027.0,6707.61,11.0,11.0,1000.0,996.0,-5.07,0.19
12,2,56322.5,56322.5,43269.99,10.25,10.25,676.0,3600.5,2.7,3.11
13,1,44438.0,44438.0,,6.7,6.7,314.0,1023.0,-3.43,
