Repository,Stars,Age_Years,AI_Score,Pre_Commits,Pre_Issues,Pre_Avg_Resolution_Hours,Pre_Issue_Rate_Per_Month,Pre_Fix_Percent,Pre_Revert_Percent,Pre_Avg_Lines_Changed
TheAlgorithms/Python,220710,9.8,5,255,206,999.2363727076593,34.333333333333336,58.82352941176471,1.1764705882352942,190.63529411764705
django/django,87397,14.0,2,607,0,0.0,0.0,53.87149917627677,0.9884678747940692,83.65897858319605
sherlock-project/sherlock,82887,7.4,3,104,116,10371.916641182466,19.33333333333333,25.961538461538463,1.9230769230769231,61.75
huggingface/transformers,160227,7.5,8,1000,2232,1448.6802808771115,372.0,54.2,4.4,349.434
ansible/ansible,68467,14.2,5,469,2032,17674.801308425038,338.6666666666667,37.73987206823028,1.9189765458422177,161.1897654584222
scikit-learn/scikit-learn,65968,15.7,3,758,2057,26708.9387442557,342.8333333333333,26.2532981530343,0.9234828496042216,102.47757255936676
scrapy/scrapy,61542,16.2,3,172,464,29830.63350819672,77.33333333333333,19.186046511627907,0.5813953488372093,193.7906976744186
Textualize/rich,56247,6.5,6,487,198,869.7215095398428,33.0,32.238193018480494,0.6160164271047228,47.718685831622174
commaai/openpilot,60804,9.4,7,1000,514,3055.7660451794204,85.66666666666667,23.3,5.6000000000000005,138.331
psf/requests,53954,15.2,3,55,3320,2651.538154713393,553.3333333333334,25.454545454545453,0.0,16.254545454545454
freqtrade/freqtrade,49807,9.0,5,1000,666,1459.2452540288375,111.0,19.8,1.1,137.119
pandas-dev/pandas,48653,15.7,3,1000,7355,17606.281172031282,1225.8333333333333,32.6,1.1,81.56
streamlit/streamlit,44438,6.7,13,314,1023,11276.46109089311,170.5,34.394904458598724,0.0,216.30573248407643
apache/airflow,45280,11.1,8,1000,2039,6596.960037684138,339.8333333333333,38.8,1.1,116.609
mitmproxy/mitmproxy,43387,16.2,6,249,414,9295.707398041104,69.0,32.53012048192771,0.8032128514056224,861.4939759036145
python/cpython,72575,9.2,3,1000,57942,10218.339250067072,9657.0,33.4,1.7999999999999998,256.921
getsentry/sentry,43770,15.7,11,1000,496,18271.205534979425,82.66666666666667,38.9,1.9,154.751
deepspeedai/DeepSpeed,42261,6.3,6,212,388,10862.338396852483,64.66666666666667,35.37735849056604,4.245283018867925,325.5566037735849
mingrammer/diagrams,42239,6.3,3,16,122,7671.463289141413,20.33333333333333,18.75,0.0,388.625
pytorch/pytorch,99610,9.7,9,1000,6624,11074.938963840596,1104.0,94.1,6.6000000000000005,256.108
ray-project/ray,42423,9.5,5,1000,3536,12107.990134874291,589.3333333333334,32.2,8.200000000000001,226.667
psf/black,41488,8.1,6,145,553,11613.48646491228,92.16666666666669,33.793103448275865,0.6896551724137931,90.4206896551724
home-assistant/core,86919,12.6,12,1000,6376,2468.2520593493805,1062.6666666666667,16.0,0.7000000000000001,96.065
nicolargo/glances,32451,14.4,8,195,306,28430.633514578407,51.0,22.56410256410257,0.0,2007.4769230769232
python-poetry/poetry,34274,8.2,6,173,3313,7005.552655988275,552.1666666666666,41.61849710982659,2.312138728323699,147.78034682080926
trailofbits/algo,30235,10.0,3,24,178,22656.66851340996,29.666666666666668,33.33333333333333,0.0,102.04166666666669
encode/django-rest-framework,29994,15.2,3,64,316,13654.173122605363,52.66666666666666,32.8125,3.125,11.59375
numpy/numpy,31969,15.6,3,1000,1895,27230.47612493281,315.8333333333333,35.8,1.6,218.626
Lightning-AI/pytorch-lightning,31108,7.1,6,1000,1494,2556.3859502209816,249.0,26.700000000000003,1.2,100.685
AtsushiSakai/PythonRobotics,29400,10.1,3,61,33,5129.157562724015,5.5,57.377049180327866,6.557377049180328,254.4754098360656
python-telegram-bot/python-telegram-bot,29077,10.8,2,17,830,1468.4147771746414,138.33333333333334,41.17647058823529,5.88235294117647,250.23529411764707
locustio/locust,27753,15.2,7,410,187,3358.2748588829472,31.166666666666668,26.09756097560976,0.975609756097561,99.14146341463416
celery/celery,28427,17.0,5,177,793,12523.388129910212,132.16666666666666,33.33333333333333,2.2598870056497176,33.54237288135593
pydantic/pydantic,27681,9.0,3,110,633,12027.194361825652,105.5,56.36363636363636,1.818181818181818,60.018181818181816
PostHog/posthog,34284,6.3,11,1000,1496,10477.661386977135,249.33333333333331,36.9,6.6000000000000005,450.424
keon/algorithms,25442,9.5,3,9,55,51318.16611616163,9.166666666666666,33.33333333333333,0.0,14.666666666666666
ArchiveBox/ArchiveBox,27382,9.0,5,54,302,6510.59327689243,50.333333333333336,18.51851851851852,0.0,23.74074074074074
spotDL/spotify-downloader,24641,9.8,5,54,98,772.4872222222222,16.333333333333332,46.2962962962963,7.4074074074074066,18916.555555555555
Delgan/loguru,23854,8.7,2,4,183,4177.876009204471,30.5,50.0,0.0,3.75
pyg-team/pytorch_geometric,23717,8.6,3,426,928,13212.759764928192,154.66666666666666,35.44600938967136,0.9389671361502347,107.98826291079811
mlflow/mlflow,25726,7.9,12,352,825,19824.62330794504,137.5,57.67045454545454,8.522727272727272,3039.338068181818
zulip/zulip,25138,10.6,7,1000,1866,28647.043339579657,311.0,28.3,0.4,230.048
serengil/deepface,22666,6.2,2,105,125,175.1206822222222,20.83333333333333,5.714285714285714,0.0,14.876190476190477
pypa/pipenv,25076,9.3,6,179,772,19613.26051345711,128.66666666666666,40.22346368715084,0.0,3586.04469273743
goauthentik/authentik,21313,6.3,4,1000,178,2409.8287666666665,29.666666666666668,23.8,1.6,363.327
onnx/onnx,20764,8.7,10,99,689,14879.815004546956,114.83333333333331,62.62626262626263,9.090909090909092,198.46464646464648
PrefectHQ/prefect,22302,7.9,5,1000,547,11213.53028031688,91.16666666666669,16.2,0.6,523.593
huggingface/datasets,21487,6.1,3,566,643,5731.530848036126,107.16666666666669,53.003533568904594,3.7102473498233217,212.96113074204948
sanic-org/sanic,18640,9.9,3,104,143,5171.565744274809,23.83333333333333,44.230769230769226,4.807692307692308,227.82692307692307
kivy/kivy,18925,15.5,3,46,794,35115.02262641723,132.33333333333334,67.3913043478261,0.0,33.19565217391305
huggingface/sentence-transformers,18637,6.8,3,89,439,3457.9322468527644,73.16666666666667,26.96629213483146,1.1235955056179776,52.98876404494382
caronc/apprise,16497,8.4,4,54,87,6026.478942436413,14.5,18.51851851851852,0.0,586.3333333333334
laramies/theHarvester,16138,15.3,3,269,71,6065.989190140845,11.833333333333334,28.25278810408922,0.0,946.7397769516728
