Repository,AI_Score,Pre_Avg_MI,Pre_Median_MI,Pre_StdDev_MI,Post_Avg_MI,Post_Median_MI,Post_StdDev_MI,MI_Change_Percent
evilsocket/opensnitch,3,37.60987353600343,33.42041433470417,28.582886061161798,56.07104028283859,50.12921470322395,31.24547813845028,49.08595805078295
deepspeedai/DeepSpeed,6,59.011217490682014,55.47179908333898,29.75592293160229,71.94434299586834,73.56554848517092,26.631866074806577,21.91638480807228
kornia/kornia,10,60.85840264682625,59.63897044901512,22.478642367018946,73.83648869193705,75.14018030460392,20.7722542729468,21.325052056369746
great-expectations/great_expectations,6,59.96372830511388,55.52889124443285,27.493707133452503,72.64094604217411,75.64367188405569,23.162807472822124,21.14147684839517
fossasia/visdom,3,52.81308698208392,60.87468214379295,37.228214940565486,63.66878636971369,67.361677328909,24.49878985549821,20.554941981165403
pycaret/pycaret,5,53.610203345775055,56.81539006157516,27.225226632323974,63.49930994605435,61.2362195590417,27.12448976969652,18.446314289271665
triton-inference-server/server,3,64.266102241963,74.071470025682,26.911727567874756,75.48319342624643,80.47399865130915,23.07220159744167,17.45413335019275
Textualize/rich,6,55.58209042124342,54.54275574961309,26.923572413732398,64.23388559558882,62.3730061447656,30.192093567080494,15.565796659995154
trailofbits/algo,3,51.90493520776679,52.93880345038512,15.840241906575203,58.377654159194925,67.8480776155659,17.10000344332558,12.470334324701344
dbt-labs/dbt-core,6,58.10413398264208,56.47799556309536,26.40714438664001,64.8986533119054,59.44842875097895,29.51817273519837,11.693693483656624
numpy/numpy,3,55.125371910538064,54.690121545625445,27.328690135939954,58.99537351697585,60.931970773686686,28.110308160361885,7.020363713315788
apache/tvm,3,72.77265468151664,73.17189569377263,24.884717960996763,77.84279820084663,84.34516396127314,24.28062504846556,6.967099855734331
ultralytics/yolov3,3,52.00582115251458,51.13024681440092,22.00532550246896,55.21390051201114,54.986208464293966,25.307421440595032,6.1686928278440405
onnx/onnx,10,73.95758032325247,78.53778717860988,24.43206094587311,77.74998356466926,82.277655613286,22.26222502908533,5.127808704450611
home-assistant/core,12,65.00377824108867,57.513267742752326,25.82930710945357,68.19091769486447,60.50038690769931,25.27875741399326,4.903006471339568
celery/celery,5,50.288333143883605,48.35865849667141,27.314467552299547,52.28782577955862,50.57662864086864,28.63206706897776,3.976056692820018
pydantic/pydantic,3,52.95881326978609,51.47169123360781,30.679456827227373,54.7913730246084,53.26333824794839,30.715325875881582,3.460348980039966
dask/dask,3,46.371552918274496,42.808269494736855,30.42492458377499,47.66994458485727,44.9138552797572,30.021409801994487,2.7999745207391844
ray-project/ray,5,60.98732946872022,58.04795717196166,24.135918894029125,62.68577871158844,59.41119705170848,24.564211780975352,2.784921487239967
Lightning-AI/pytorch-lightning,6,68.44127822560866,70.18703547606425,23.99816520178264,70.2297935689145,73.06480539436849,25.97491315782536,2.613211485341076
scikit-learn/scikit-learn,3,54.60834515916263,52.19315125560388,25.33252940323944,56.01761321029744,52.75698396936219,26.909810379898367,2.580682580706899
serengil/deepface,2,66.02753783279186,67.71546303694177,17.710458599899972,67.56596110412664,69.17869689462285,20.06541168275084,2.3299721931638304
dbcli/pgcli,3,59.284201689257,59.01256661140165,26.03203911600208,60.65934555510166,61.74528192878621,26.59671666707428,2.319578954697901
encode/django-rest-framework,3,57.91100869434001,55.84359154600634,25.045498402772605,59.15047854891739,56.15904797385138,25.683563714732884,2.1403009246815623
Delgan/loguru,2,48.983775381402886,49.947778418046965,28.10523254940011,50.02196623901989,55.49293244222925,25.803353308362155,2.1194586361164016
wandb/wandb,5,69.84944201021506,68.06981584975667,25.794625827243628,71.05295600421972,69.93806431783031,26.376646191575052,1.723011608065043
saltstack/salt,3,49.5232762955412,49.34739335494068,24.160430250076818,50.33751071139132,50.280720209316,26.371013450987864,1.644144888538857
kivy/kivy,3,50.581560268752895,49.916880342999576,24.48058699201996,51.30810374147622,50.6368337517537,25.13002689559878,1.4363801133516152
nicolargo/glances,8,65.69360318339857,67.98343533587236,15.579329104354793,66.4188968450712,67.09855428705407,19.653457711115674,1.104055229925227
django-cms/django-cms,6,75.88890182109711,77.2283788173248,25.185897532652543,76.2736952058753,80.7867254866049,25.69666718295137,0.5070482976355565
mlflow/mlflow,12,63.34823553539314,58.64133599530002,23.884113355178066,63.66772152689102,60.08052767649655,26.1953417220292,0.504332897037643
redis/redis-py,8,58.6532685532253,55.27082447446995,28.211976192200517,58.92250360631435,57.57361472699806,29.812715642921717,0.4590282174039947
sanic-org/sanic,3,64.02456207122052,59.42970595155434,25.384335575046123,64.22772797799773,60.8787747232125,25.54842017400911,0.3173249456219862
nodejs/node-gyp,3,50.54620529339709,57.52720361620265,30.117103278731125,50.68049932076018,55.4890738332756,27.56947609748856,0.2656856762709861
facebookresearch/hydra,6,77.20714286238932,87.91395189913106,26.465773090802305,77.30412363695204,90.54916199431104,26.72710713800129,0.1256111429166313
ansible/ansible,5,66.49917222830935,69.33185966137185,27.5769843325914,66.51473952796175,69.02642528643455,27.983974260525656,0.0234097645591084
psf/black,6,58.54332389806259,56.96967213695534,32.208691338259285,58.510364697525794,55.960678849418095,31.69095594807017,-0.0562988199887382
mingrammer/diagrams,3,99.2067487839824,100.0,6.705920853327114,99.06909135427544,100.0,6.938190385452599,-0.1387581302625937
