Repository,AI_Score,Pre_Commits,Post_Commits,Commits_Change_Percent,Pre_Issues,Post_Issues,Issues_Change_Percent,Pre_Avg_Resolution_Hours,Post_Avg_Resolution_Hours,Pre_Fix_Percent,Post_Fix_Percent,MI_Change_Percent
TheAlgorithms/Python,5,255,42,-83.53,206,83,-59.42,999.2363727076593,987.9329398148147,58.82352941176471,57.14285714285714,-0.63912672441743
django/django,2,607,530,-12.69,0,0,0.0,0.0,0.0,53.87149917627677,56.9811320754717,-1.140770402870552
sherlock-project/sherlock,3,104,29,-72.12,116,75,-35.04,10371.916641182466,1031.8222154471543,25.961538461538463,37.93103448275862,-7.991412178782878
huggingface/transformers,8,1000,1000,0.0,2232,1111,-50.2,1448.6802808771115,1838.0363909378293,54.2,73.3,-4.451571299436745
ansible/ansible,5,469,205,-56.29,2032,413,-79.64,17674.801308425038,9286.42556091806,37.73987206823028,47.80487804878049,0.0234097645591084
scikit-learn/scikit-learn,3,758,500,-34.04,2057,651,-68.32,26708.9387442557,20687.695784574466,26.2532981530343,31.0,2.580682580706899
scrapy/scrapy,3,172,159,-7.56,464,138,-70.11,29830.63350819672,13607.30448082011,19.186046511627907,30.18867924528302,-5.7225454775530284
Textualize/rich,6,487,162,-66.74,198,93,-52.76,869.7215095398428,2953.340469348658,32.238193018480494,19.1358024691358,15.565796659995154
commaai/openpilot,7,1000,946,-5.4,514,266,-48.16,3055.7660451794204,4861.456551679586,23.3,30.972515856236782,-12.990104830329956
psf/requests,3,55,67,21.82,3320,180,-94.55,2651.538154713393,13018.371342281878,25.454545454545453,13.432835820895525,-2.066354949113121
freqtrade/freqtrade,5,1000,1000,0.0,666,183,-72.41,1459.2452540288375,937.7204344315248,19.8,25.9,-2.8334202917322937
pandas-dev/pandas,3,1000,1000,0.0,7355,1165,-84.15,17606.281172031282,21437.05211296772,32.6,39.7,-0.988422411613857
streamlit/streamlit,13,314,1000,218.47,1023,729,-28.71,11276.46109089311,8455.41678100264,34.394904458598724,65.9,-3.426732251461156
apache/airflow,8,1000,1000,0.0,2039,2327,14.12,6596.960037684138,3304.3436167987666,38.8,47.6,-8.604101473962457
mitmproxy/mitmproxy,6,249,91,-63.45,414,99,-75.9,9295.707398041104,5108.112425925927,32.53012048192771,74.72527472527473,-1.6475107875819288
python/cpython,3,1000,1000,0.0,57942,3465,-94.02,10218.339250067072,9216.163950444132,33.4,32.1,-2.1649123959497008
getsentry/sentry,11,1000,1000,0.0,496,1777,257.75,18271.205534979425,5761.227298218029,38.9,48.8,-5.199045989597847
deepspeedai/DeepSpeed,6,212,161,-24.06,388,147,-61.95,10862.338396852483,1935.4236965811965,35.37735849056604,62.11180124223602,21.91638480807228
mingrammer/diagrams,3,16,9,-43.75,122,10,-91.06,7671.463289141413,12773.591018518518,18.75,44.44444444444444,-0.1387581302625937
pytorch/pytorch,9,1000,1000,0.0,6624,6042,-8.78,11074.938963840596,4321.979724028767,94.1,89.9,-5.331692318507441
ray-project/ray,5,1000,1000,0.0,3536,1494,-57.73,12107.990134874291,3725.438808902276,32.2,46.2,2.784921487239967
