repository,stars,age_years,ai_score,ai_validation_reason
streamlit/streamlit,44438,6.7,13,Arquivo detectado: .cursor; Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 158738f: 'claude'
home-assistant/core,86919,12.6,12,Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 597d9a2: 'copilot'; Co-autoria detectada no commit 1b4a7d5: 'claude'
mlflow/mlflow,25726,7.9,12,Arquivo detectado: .claude; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 2f79947: 'claude'; Co-autoria detectada no commit bfae989: 'copilot'
getsentry/sentry,43770,15.7,11,Arquivo detectado: .cursor; Arquivo detectado: .claude; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 7f41cc5: 'claude'
PostHog/posthog,34284,6.3,11,Arquivo detectado: .cursor; Arquivo detectado: .cursorrules; Arquivo detectado: .claude; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 4c2598e: 'claude'
onnx/onnx,20764,8.7,10,Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit 92e5412: 'copilot'; Co-autoria detectada no commit df36ea9: 'claude'
NVIDIA-NeMo/NeMo,17169,6.8,10,Arquivo detectado: .cursor; Arquivo detectado: .claude; Co-autoria detectada no commit 7ccc79b: 'claude'; Co-autoria detectada no commit 52ba833: 'copilot'
kornia/kornia,11193,7.7,10,Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 915b6b4: 'claude'; Co-autoria detectada no commit 6f03716: 'copilot'
pytorch/pytorch,99610,9.7,9,Arquivo detectado: .claude; Arquivo detectado: .github/copilot-instructions.md; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 403b695: 'claude'
huggingface/transformers,160227,7.5,8,Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit b6fb4ec: 'claude'; Co-autoria detectada no commit b6fb4ec: 'copilot'
apache/airflow,45280,11.1,8,Arquivo detectado: .claude; Co-autoria detectada no commit 4a9b5a0: 'claude'; Co-autoria detectada no commit 4082687: 'copilot'
nicolargo/glances,32451,14.4,8,Arquivo detectado: .claude; Co-autoria detectada no commit 5b8e8ad: 'claude'; Co-autoria detectada no commit 07c10a6: 'copilot'
redis/redis-py,13523,16.5,8,Arquivo detectado: .claude; Co-autoria detectada no commit bd2589c: 'copilot'; Co-autoria detectada no commit 7e8ea88: 'claude'
commaai/openpilot,60804,9.4,7,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit ab43fd1: 'claude'
locustio/locust,27753,15.2,7,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 350e011: 'claude'
zulip/zulip,25138,10.6,7,Arquivo detectado: .claude; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 843cf84: 'claude'
NVIDIA/Megatron-LM,16224,7.1,7,Arquivo detectado: .cursorrules; Arquivo detectado: .claude; Co-autoria detectada no commit c817dad: 'claude'
dagster-io/dagster,15430,8.0,7,Arquivo detectado: .claude; Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 0ddcc67: 'claude'
Textualize/rich,56247,6.5,6,Co-autoria detectada no commit 905b397: 'copilot'; Co-autoria detectada no commit f07a3fc: 'llm'
mitmproxy/mitmproxy,43387,16.2,6,Co-autoria detectada no commit d482bba: 'claude'; Co-autoria detectada no commit a9c3daf: 'copilot'
deepspeedai/DeepSpeed,42261,6.3,6,Co-autoria detectada no commit 4e668fc: 'copilot'; Co-autoria detectada no commit 956ec6f: 'claude'
psf/black,41488,8.1,6,Co-autoria detectada no commit 55003e6: 'claude'; Co-autoria detectada no commit 5cdb4b6: 'copilot'
python-poetry/poetry,34274,8.2,6,Co-autoria detectada no commit f9b1236: 'copilot'; Co-autoria detectada no commit 1449345: 'claude'
Lightning-AI/pytorch-lightning,31108,7.1,6,Co-autoria detectada no commit bf93b18: 'copilot'; Co-autoria detectada no commit 648ec13: 'claude'
pypa/pipenv,25076,9.3,6,Co-autoria detectada no commit 405cab5: 'copilot'; Co-autoria detectada no commit 87dffe0: 'claude'
lra/mackup,15223,13.1,6,Co-autoria detectada no commit a57bba5: 'claude'; Co-autoria detectada no commit 9dc0b32: 'copilot'
Nuitka/Nuitka,14804,13.0,6,Arquivo detectado: .cursorrules; Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json
nltk/nltk,14602,16.7,6,Co-autoria detectada no commit 380d8ea: 'copilot'; Co-autoria detectada no commit a1af8be: 'claude'
plasma-umass/scalene,13406,6.4,6,Co-autoria detectada no commit 7a515ff: 'claude'; Co-autoria detectada no commit 021e9ee: 'copilot'
dbt-labs/dbt-core,12719,10.2,6,Co-autoria detectada no commit 13d51b7: 'copilot'; Co-autoria detectada no commit 9467792: 'claude'
speechbrain/speechbrain,11511,6.0,6,Co-autoria detectada no commit aca5e41: 'copilot'; Co-autoria detectada no commit ba4f674: 'claude'
great-expectations/great_expectations,11458,8.7,6,Co-autoria detectada no commit eaccf46: 'claude'; Co-autoria detectada no commit f712566: 'copilot'
django-cms/django-cms,10635,17.2,6,Co-autoria detectada no commit 5029398: 'copilot'; Co-autoria detectada no commit 7a359ee: 'claude'
facebookresearch/hydra,10349,6.9,6,Co-autoria detectada no commit bb680e5: 'copilot'; Co-autoria detectada no commit b27ccfa: 'claude'
Netflix/metaflow,10078,6.6,6,Co-autoria detectada no commit 4ab2fc0: 'claude'; Co-autoria detectada no commit afe7821: 'copilot'
TheAlgorithms/Python,220710,9.8,5,Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 840ca00: 'copilot'
ansible/ansible,68467,14.2,5,Arquivo detectado: .claude; Co-autoria detectada no commit 52b7d4d: 'claude'
freqtrade/freqtrade,49807,9.0,5,Arquivo detectado: .vscode/extensions.json; Co-autoria detectada no commit 63819fa: 'copilot'
ray-project/ray,42423,9.5,5,Arquivo detectado: .claude; Co-autoria detectada no commit a68fc8d: 'claude'
celery/celery,28427,17.0,5,Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit 6b20dcd: 'copilot'
ArchiveBox/ArchiveBox,27382,9.0,5,Arquivo detectado: .claude; Co-autoria detectada no commit f97725d: 'claude'
spotDL/spotify-downloader,24641,9.8,5,Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit c0f8e64: 'copilot'
PrefectHQ/prefect,22302,7.9,5,Arquivo detectado: .claude; Co-autoria detectada no commit e934cf2: 'claude'
beetbox/beets,15078,15.7,5,Arquivo detectado: .github/copilot-instructions.md; Co-autoria detectada no commit f459edb: 'claude'
pyodide/pyodide,14569,8.2,5,Arquivo detectado: .cursorrules; Co-autoria detectada no commit cd9afe1: 'claude'
icloud-photos-downloader/icloud_photos_downloader,11910,10.0,5,Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit 52e1fcd: 'claude'
wandb/wandb,11042,9.1,5,Arquivo detectado: .vscode/settings.json; Co-autoria detectada no commit a54e5f8: 'claude'
pycaret/pycaret,9769,6.4,5,Arquivo detectado: .claude; Co-autoria detectada no commit b152756: 'claude'
goauthentik/authentik,21313,6.3,4,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json
caronc/apprise,16497,8.4,4,Arquivo detectado: .vscode/settings.json; Arquivo detectado: .vscode/extensions.json
sherlock-project/sherlock,82887,7.4,3,Co-autoria detectada no commit fd3833b: 'claude'
python/cpython,72575,9.2,3,Co-autoria detectada no commit 7acee98: 'claude'
scikit-learn/scikit-learn,65968,15.7,3,Co-autoria detectada no commit e7b663d: 'copilot'
scrapy/scrapy,61542,16.2,3,Co-autoria detectada no commit da1a6b7: 'claude'
psf/requests,53954,15.2,3,Co-autoria detectada no commit b2a1d33: 'claude'
pandas-dev/pandas,48653,15.7,3,Co-autoria detectada no commit b00d4f6: 'claude'
mingrammer/diagrams,42239,6.3,3,Co-autoria detectada no commit 052da89: 'copilot'
numpy/numpy,31969,15.6,3,Co-autoria detectada no commit aafacc6: 'claude'
trailofbits/algo,30235,10.0,3,Co-autoria detectada no commit de11b86: 'claude'
encode/django-rest-framework,29994,15.2,3,Co-autoria detectada no commit 8d4c2d0: 'copilot'
AtsushiSakai/PythonRobotics,29400,10.1,3,Co-autoria detectada no commit 1311b94: 'copilot'
pydantic/pydantic,27681,9.0,3,Co-autoria detectada no commit af85f64: 'claude'
keon/algorithms,25442,9.5,3,Co-autoria detectada no commit 9d9d822: 'claude'
pyg-team/pytorch_geometric,23717,8.6,3,Co-autoria detectada no commit abbb4b8: 'claude'
huggingface/datasets,21487,6.1,3,Co-autoria detectada no commit 6732f14: 'claude'
kivy/kivy,18925,15.5,3,Co-autoria detectada no commit 9e704cc: 'copilot'
sanic-org/sanic,18640,9.9,3,Co-autoria detectada no commit 9aef932: 'copilot'
huggingface/sentence-transformers,18637,6.8,3,Co-autoria detectada no commit 45015b6: 'copilot'
hummingbot/hummingbot,18468,7.1,3,Co-autoria detectada no commit cbfa3fd: 'claude'
laramies/theHarvester,16138,15.3,3,Co-autoria detectada no commit e4da0ef: 'claude'
ansible/awx,15400,9.0,3,Co-autoria detectada no commit 2451156: 'claude'
saltstack/salt,15371,15.2,3,Co-autoria detectada no commit 01dfcb1: 'copilot'
scipy/scipy,14662,15.2,3,Co-autoria detectada no commit 50669a0: 'claude'
PaddlePaddle/PaddleDetection,14195,6.5,3,Co-autoria detectada no commit 8b03233: 'claude'
geldata/gel,14086,8.9,3,Co-autoria detectada no commit ba406fa: 'copilot'
dask/dask,13820,11.3,3,Co-autoria detectada no commit 5ea912c: 'claude'
